rank,name,url,id,pos
1,Adley Rutschman,https://www.baseballamerica.com/players/10072/adley-rutschman/,10072,C
2,Andrew Vaughn,https://www.baseballamerica.com/players/102326/andrew-vaughn/,102326,1B
3,Shea Langeliers,https://www.baseballamerica.com/players/11488/shea-langeliers/,11488,C
4,Graeme Stinson,https://www.baseballamerica.com/players/10049/graeme-stinson/,10049,LHP
5,Josh Jung,https://www.baseballamerica.com/players/102318/josh-jung/,102318,3B
6,Zack Thompson,https://www.baseballamerica.com/players/10224/zack-thompson/,10224,LHP
7,Tyler Dyson,https://www.baseballamerica.com/players/10244/tyler-dyson/,10244,RHP
8,Nick Lodolo,https://www.baseballamerica.com/players/9829/nick-lodolo/,9829,LHP
9,Will Holland,https://www.baseballamerica.com/players/102317/will-holland/,102317,SS
10,Alek Manoah,https://www.baseballamerica.com/players/9916/alek-manoah/,9916,RHP
11,Ryne Nelson,https://www.baseballamerica.com/players/102379/ryne-nelson/,102379,RHP
12,Bryson Stott,https://www.baseballamerica.com/players/102325/bryson-stott/,102325,SS
13,Braden Shewmake,https://www.baseballamerica.com/players/102324/braden-shewmake/,102324,SS/2B
14,J.J. Bleday,https://www.baseballamerica.com/players/10404/jj-bleday/,10404,OF
15,Logan Wyatt,https://www.baseballamerica.com/players/102380/logan-wyatt/,102380,1B
16,Michael Busch,https://www.baseballamerica.com/players/11269/michael-busch/,11269,1B
17,Kyle Stowers,https://www.baseballamerica.com/players/11037/kyle-stowers/,11037,OF
18,Matt Wallner,https://www.baseballamerica.com/players/11646/matt-wallner/,11646,OF/RHP
19,Will Wilson,https://www.baseballamerica.com/players/102327/will-wilson/,102327,SS
20,Logan Davidson,https://www.baseballamerica.com/players/10013/logan-davidson/,10013,SS
21,Mason Feole,https://www.baseballamerica.com/players/11437/mason-feole/,11437,LHP
22,Greg Jones,https://www.baseballamerica.com/players/99357/greg-jones/,99357,SS/OF
23,Michael Toglia,https://www.baseballamerica.com/players/10316/michael-toglia/,10316,1B/OF
24,Zack Hess,https://www.baseballamerica.com/players/9879/zack-hess/,9879,RHP
25,Kenyon Yovan,https://www.baseballamerica.com/players/10052/kenyon-yovan/,10052,RHP
26,Ricky DeVito,https://www.baseballamerica.com/players/102381/ricky-devito/,102381,RHP
27,Ryan Zeferjahn,https://www.baseballamerica.com/players/9881/ryan-zeferjahn/,9881,RHP
28,Bryant Packard,https://www.baseballamerica.com/players/10008/bryant-packard/,10008,OF
29,Kameron Misner,https://www.baseballamerica.com/players/11272/kameron-misner/,11272,OF
30,Adam Laskey,https://www.baseballamerica.com/players/9842/adam-laskey/,9842,LHP
31,Matt Cronin,https://www.baseballamerica.com/players/102315/matt-cronin/,102315,LHP
32,Isaiah Campbell,https://www.baseballamerica.com/players/98632/isaiah-campbell/,98632,RHP
33,Drew Mendoza,https://www.baseballamerica.com/players/9794/drew-mendoza/,9794,3B
34,Matt Canterino,https://www.baseballamerica.com/players/102313/matt-canterino/,102313,RHP
35,Dominic Fletcher,https://www.baseballamerica.com/players/10046/dominic-fletcher/,10046,OF
36,Blake Sabol,https://www.baseballamerica.com/players/9950/blake-sabol/,9950,OF/C
37,Christian Koss,https://www.baseballamerica.com/players/102382/christian-koss/,102382,SS
38,David Hamilton,https://www.baseballamerica.com/players/9980/david-hamilton/,9980,SS
39,Cameron Cannon,https://www.baseballamerica.com/players/10399/cameron-cannon/,10399,3B/2B
40,Brady McConnell,https://www.baseballamerica.com/players/99328/brady-mcconnell/,99328,SS
41,Austin Bergner,https://www.baseballamerica.com/players/9849/austin-bergner/,9849,RHP
42,Davis Daniel,https://www.baseballamerica.com/players/9843/davis-daniel/,9843,RHP
43,Nick Quintana,https://www.baseballamerica.com/players/9862/nick-quintana/,9862,3B
44,Josh Smith,https://www.baseballamerica.com/players/10088/josh-smith/,10088,SS
45,Todd Peterson,https://www.baseballamerica.com/players/9882/todd-peterson/,9882,RHP
46,Cam Shepherd,https://www.baseballamerica.com/players/11166/cam-shepherd/,11166,SS
47,Gianluca Dalatri,https://www.baseballamerica.com/players/102383/gianluca-dalatri/,102383,RHP
48,Hunter Gaddis,https://www.baseballamerica.com/players/102384/hunter-gaddis/,102384,RHP
49,Tanner Morris,https://www.baseballamerica.com/players/99498/tanner-morris/,99498,SS
50,Will Robertson,https://www.baseballamerica.com/players/102385/will-robertson/,102385,OF
