LG,TM,FIRST,LAST,USE,B/P,C,1B,2B,3B,SS,LF,CF,RF
AL,BO,Nick,Ciuffo,COMP,BAT,3,,,,,,,
AL,BO,Maikel,Franco,REG,BAT,,4,,4(B3),,,,
AL,BO,Freddy,Galvis-1,MIX,BAT,,,,,2,,,
AL,BO,Kelvin,Gutierrez,REG,BAT,,4,4,3,,,,
AL,BO,Austin,Hays,REG,BAT,,,,,,2,3(B2),2
AL,BO,Jahmai,Jones-2,ADD,BAT,,,4,,,,,
AL,BO,Domingo,Leyba-2,COMP,BAT,,,4,4,,,,
AL,BO,Trey,Mancini,REG,BAT,,4(B3),,,,,,
AL,BO,Richie,Martin,ADD,BAT,,,,,3,,,
AL,BO,Jorge,Mateo-2,ADD,BAT,,,3,4,4,4,,4
AL,BO,Ryan,McKenna,REG,BAT,,,,5,,2,3,3
AL,BO,Ryan,Mountcastle,REG,BAT,,4(B3),,,,5,,
AL,BO,Cedric,Mullins II,REG,BAT,,,,,,,1(B2),
AL,BO,Tyler,Nevin,COMP,BAT,,4,,,,4,,
AL,BO,Rio,Ruiz-1,ADD,BAT,,,4,3,,,,
AL,BO,Anthony,Santander,REG,BAT,,,,,,4(B3),,4(B3)
AL,BO,Pedro,Severino,REG,BAT,4,,,,,,,
AL,BO,Chance,Sisco-1,ADD,BAT,4,,,,,,,
AL,BO,D.J.,Stewart,REG,BAT,,,,,,4,,4
AL,BO,Ramon,Urias,REG,BAT,,,3(B4),4,4,,,
AL,BO,Pat,Valaika,REG,BAT,,4,4,4,4,4,,
AL,BO,Stevie,Wilkerson,ADD,BAT,,,4,,,4,,
AL,BO,Austin,Wynns,REG,BAT,3,5,,,,,,
AL,BO,Fernando,Abad,COMP,PIT,,,,,,,,
AL,BO,Keegan,Akin,REG,PIT,,,,,,,,
AL,BO,Shaun,Anderson-1,COMP,PIT,,,,,,,,
AL,BO,Manny,Barreda,COMP,PIT,,,,,,,,
AL,BO,Mike,Baumann,COMP,PIT,,,,,,,,
AL,BO,Zack,Burdi,COMP,PIT,,,,,,,,
AL,BO,Marcos,Diplan,ADD,PIT,,,,,,,,
AL,BO,Chris,Ellis,ADD,PIT,,,,,,,,
AL,BO,Thomas,Eshelman,ADD,PIT,,,,,,,,
AL,BO,Jay,Flaa-1,COMP,PIT,,,,,,,,
AL,BO,Paul,Fry,REG,PIT,,,,,,,,
AL,BO,Conner,Greene-1,COMP,PIT,,,,,,,,
AL,BO,Eric,Hanhold,COMP,PIT,,,,,,,,
AL,BO,Hunter,Harvey,COMP,PIT,,,,,,,,
AL,BO,Matt,Harvey,REG,PIT,,,,,,,,
AL,BO,Mickey,Jannis,COMP,PIT,,,,,,,,
AL,BO,Dusten,Knight,COMP,PIT,,,,,,,,
AL,BO,Joey,Krehbiel,COMP,PIT,,,,,,,,
AL,BO,Dean,Kremer,REG,PIT,,,,,,,,
AL,BO,Brooks,Kriske,COMP,PIT,,,,,,,,
AL,BO,Travis,Lakins Sr.,ADD,PIT,,,,,,,,
AL,BO,Wade,LeBlanc-1,COMP,PIT,,,,,,,,
AL,BO,Jorge,Lopez,REG,PIT,,,,,,,,
AL,BO,Zac,Lowther,ADD,PIT,,,,,,,,
AL,BO,Isaac,Mattson,COMP,PIT,,,,,,,,
