LG,TM,FIRST,LAST,USE,B/P,C,1B,2B,3B,SS,LF,CF,RF
AL,BAL,David,Banuelos,COMP,BAT,,,,,,,,
AL,BAL,Colton,Cowser,REG,BAT,,,,,,2,3(B2),2
AL,BAL,Austin,Hays,ADD,BAT,,,,,,3,,3
AL,BAL,Gunnar,Henderson,REG,BAT,,,,,2,,,
AL,BAL,Jackson,Holliday,REG,BAT,,,3,,4,,,
AL,BAL,Eloy,Jimenez,MIX,BAT,,,,,,,,5
AL,BAL,Daniel,Johnson,COMP,BAT,,,,,,,,4
AL,BAL,Tony,Kemp,COMP,BAT,,,3,,,4,,
AL,BAL,Heston,Kjerstad,REG,BAT,,,,,,4,,4
AL,BAL,Jorge,Mateo,REG,BAT,,,2,,2,,4,
AL,BAL,Nick,Maton,COMP,BAT,,,4,4,,,,
AL,BAL,Coby,Mayo,COMP,BAT,,4,,4,,,,
AL,BAL,James,McCann,REG,BAT,3,,,,,,,
AL,BAL,Ryan,McKenna,COMP,BAT,,,,,,2,3,2
AL,BAL,Ryan,Mountcastle,REG,BAT,,2,,,,,,
AL,BAL,Cedric,Mullins,REG,BAT,,,,,,,1,
AL,BAL,Connor,Norby,COMP,BAT,,,4,,,,,
AL,BAL,Ryan,O'Hearn,REG,BAT,,4,,,,4,,4
AL,BAL,Cristian,Pache,COMP,BAT,,,,,,,,1
AL,BAL,Emmanuel,Rivera,ADD,BAT,,3,,2,,,,
AL,BAL,Adley,Rutschman,REG,BAT,1(B2),,,,,,,
AL,BAL,Anthony,Santander,REG,BAT,,4,,,,,,3
AL,BAL,Austin,Slater,ADD,BAT,,,,,,2,3,2
AL,BAL,Livan,Soto,COMP,BAT,,,4,4,3,,,
AL,BAL,Kyle,Stowers,COMP,BAT,,,,,,3,,3
AL,BAL,Ramon,Urias,REG,BAT,,4,3,3,,,,
AL,BAL,Jordan,Westburg,REG,BAT,,,2,2,4,,,
AL,BAL,Keegan,Akin,REG,PIT,,,,,,,,
AL,BAL,Bryan,Baker,ADD,PIT,,,,,,,,
AL,BAL,Matt,Bowman,COMP,PIT,,,,,,,,
AL,BAL,Kyle,Bradish,ADD,PIT,,,,,,,,
AL,BAL,Corbin,Burnes,REG,PIT,,,,,,,,
AL,BAL,Yennier,Cano,REG,PIT,,,,,,,,
AL,BAL,Danny,Coulombe,REG,PIT,,,,,,,,
AL,BAL,Tucker,Davidson,COMP,PIT,,,,,,,,
AL,BAL,Seranthony,Dominguez,REG,PIT,,,,,,,,
AL,BAL,Zach,Eflin,REG,PIT,,,,,,,,
AL,BAL,Jonathan,Heasley,COMP,PIT,,,,,,,,
AL,BAL,Craig,Kimbrel,REG,PIT,,,,,,,,
AL,BAL,Dean,Kremer,REG,PIT,,,,,,,,
AL,BAL,Matt,Krook,COMP,PIT,,,,,,,,
AL,BAL,Chayce,McDermott,COMP,PIT,,,,,,,,
AL,BAL,John,Means,ADD,PIT,,,,,,,,
AL,BAL,Vinny,Nittoli,COMP,PIT,,,,,,,,
AL,BAL,Cionel,Perez,REG,PIT,,,,,,,,
AL,BAL,Cade,Povich,REG,PIT,,,,,,,,
AL,BAL,Grayson,Rodriguez,REG,PIT,,,,,,,,
AL,BAL,Trevor,Rogers,COMP,PIT,,,,,,,,
AL,BAL,Colin,Selby,COMP,PIT,,,,,,,,
AL,BAL,Burch,Smith,REG,PIT,,,,,,,,
AL,BAL,Gregory,Soto,COMP,PIT,,,,,,,,
AL,BAL,Albert,Suarez,REG,PIT,,,,,,,,
AL,BAL,Nick,Vespi,COMP,PIT,,,,,,,,
AL,BAL,Thyago,Vieira,COMP,PIT,,,,,,,,
AL,BAL,Jacob,Webb,REG,PIT,,,,,,,,
AL,BAL,Tyler,Wells,COMP,PIT,,,,,,,,
AL,BOS,Wilyer,Abreu,REG,BAT,,,,,,2,,1
AL,BOS,Triston,Casas,REG,BAT,,4,,,,,,
AL,BOS,Garrett,Cooper,COMP,BAT,,4,,,,,,
AL,BOS,Bobby,Dalbec,ADD,BAT,,3,,3,,,,4
AL,BOS,Rafael,Devers,REG,BAT,,,,4,,,,
AL,BOS,Jarren,Duran,REG,BAT,,,,,,2,2,
AL,BOS,Mickey,Gasper,COMP,BAT,,4,4,,,,,
AL,BOS,Romy,Gonzlez,REG,BAT,,4,3(B4),4,4,4,4,4
AL,BOS,Vaughn,Grissom,ADD,BAT,,,4,,,,,
AL,BOS,David,Hamilton,REG,BAT,,,4,,4,,,
AL,BOS,Danny,Jansen,REG,BAT,2(B3),,,,,,,
AL,BOS,Reese,McGuire,ADD,BAT,4,,,,,,,
AL,BOS,Tyler,O'Neill,REG,BAT,,,,,,3(B4),,3(B4)
AL,BOS,Ceddanne,Rafaela,REG,BAT,,,4,4,3,,2,3
AL,BOS,Rob,Refsnyder,REG,BAT,,,,,,4,,4
AL,BOS,Pablo,Reyes,COMP,BAT,,4,4,4,4,,,
AL,BOS,Zack,Short,COMP,BAT,,,3,3(B4),,,,
AL,BOS,Dominic,Smith,ADD,BAT,,3,,,,,,
AL,BOS,Nick,Sogard,ADD,BAT,,,3,4,4,,,
AL,BOS,Trevor,Story,ADD,BAT,,,,,2,,,
AL,BOS,Enmanuel,Valdez,REG,BAT,,,4,4,,4,,
AL,BOS,Jamie,Westbrook,COMP,BAT,,,4,4,,,,4
AL,BOS,Connor,Wong,REG,BAT,4,4,4,,,5,,
AL,BOS,Masataka,Yoshida,REG,BAT,,,,,,5,,
AL,BOS,Brayan,Bello,REG,PIT,,,,,,,,
AL,BOS,Brennan,Bernardino,REG,PIT,,,,,,,,
AL,BOS,Cam,Booser,REG,PIT,,,,,,,,
AL,BOS,Isaiah,Campbell,COMP,PIT,,,,,,,,
AL,BOS,Kutter,Crawford,REG,PIT,,,,,,,,
AL,BOS,Cooper,Criswell,REG,PIT,,,,,,,,
AL,BOS,Richard,Fitts,ADD,PIT,,,,,,,,
AL,BOS,Luis,Garcia,REG,PIT,,,,,,,,
AL,BOS,Luis,Guerrero,COMP,PIT,,,,,,,,
AL,BOS,Rich,Hill,COMP,PIT,,,,,,,,
AL,BOS,Bailey,Horn,COMP,PIT,,,,,,,,
AL,BOS,Tanner,Houck,REG,PIT,,,,,,,,
AL,BOS,Joe,Jacques,COMP,PIT,,,,,,,,
AL,BOS,Kenley,Jansen,REG,PIT,,,,,,,,
AL,BOS,Brad,Keller,ADD,PIT,,,,,,,,
AL,BOS,Zack,Kelly,REG,PIT,,,,,,,,
AL,BOS,Chris,Martin,REG,PIT,,,,,,,,
AL,BOS,James,Paxton,COMP,PIT,,,,,,,,
AL,BOS,Zach,Penrod,COMP,PIT,,,,,,,,
AL,BOS,Nick,Pivetta,REG,PIT,,,,,,,,
AL,BOS,Quinn,Priester,COMP,PIT,,,,,,,,
AL,BOS,Yohan,Ramirez,COMP,PIT,,,,,,,,
AL,BOS,Joely,Rodriguez,COMP,PIT,,,,,,,,
AL,BOS,Chase,Shugart,COMP,PIT,,,,,,,,
AL,BOS,Lucas,Sims,COMP,PIT,,,,,,,,
AL,BOS,Justin,Slaten,REG,PIT,,,,,,,,
AL,BOS,Naoyuki,Uwasawa,COMP,PIT,,,,,,,,
AL,BOS,Greg,Weissert,REG,PIT,,,,,,,,
AL,BOS,Garrett,Whitlock,ADD,PIT,,,,,,,,
AL,BOS,Josh,Winckowski,REG,PIT,,,,,,,,
AL,BOS,Trey,Wingenter,COMP,PIT,,,,,,,,
AL,CHW,Jacob,Amaya,REG,BAT,,,4,,3,,,
AL,CHW,Brooks,Baldwin,REG,BAT,,,4,,4,,,
AL,CHW,Andrew,Benintendi,REG,BAT,,,,,,3,,
AL,CHW,Oscar,Colas,COMP,BAT,,,,,,,4,4
AL,CHW,Zach,DeLoach,ADD,BAT,,,,,,4,4,4
AL,CHW,Dominic,Fletcher,REG,BAT,,,,,,3,3,2
AL,CHW,Corey,Julks,REG,BAT,,,,,,3,4,3
AL,CHW,Korey,Lee,REG,BAT,3,,,,,,,
AL,CHW,Nicky,Lopez,REG,BAT,,,2,,3(B2),,,
AL,CHW,Martin,Maldonado,REG,BAT,3,,,,,,,
AL,CHW,Danny,Mendick,REG,BAT,,,3,3,,,,
AL,CHW,Yoan,Moncada,COMP,BAT,,,,3,,,,
AL,CHW,Rafael,Ortega,COMP,BAT,,,,,,,3,
AL,CHW,Bryan,Ramos,ADD,BAT,,,,3,,,,
AL,CHW,Zach,Remillard,COMP,BAT,,,4,4,4,4,,
AL,CHW,Luis,Robert Jr.,REG,BAT,,,,,,,2,
AL,CHW,Chuckie,Robinson,ADD,BAT,4,,,,,,,
AL,CHW,Nick,Senzel,COMP,BAT,,,,4,,,,4
AL,CHW,Gavin,Sheets,REG,BAT,,4(B3),,,,,,5
AL,CHW,Braden,Shewmake,ADD,BAT,,,4,4,4,,,
AL,CHW,Lenyn,Sosa,REG,BAT,,5,4(B3),4(B3),,,,
AL,CHW,Miguel,Vargas,REG,BAT,,,,4,,5,,
AL,CHW,Andrew,Vaughn,REG,BAT,,4(B3),,,,,,
AL,CHW,Justin,Anderson,REG,PIT,,,,,,,,
AL,CHW,Tanner,Banks,ADD,PIT,,,,,,,,
AL,CHW,Prelander,Berroa,ADD,PIT,,,,,,,,
AL,CHW,John,Brebbia,ADD,PIT,,,,,,,,
AL,CHW,Sean,Burke,ADD,PIT,,,,,,,,
AL,CHW,Ky,Bush,COMP,PIT,,,,,,,,
AL,CHW,Jonathan,Cannon,REG,PIT,,,,,,,,
AL,CHW,Mike,Clevinger,COMP,PIT,,,,,,,,
AL,CHW,Garrett,Crochet,REG,PIT,,,,,,,,
AL,CHW,Enyel,De Los Santos,COMP,PIT,,,,,,,,
AL,CHW,Jacob,Eder,COMP,PIT,,,,,,,,
AL,CHW,Fraser,Ellard,REG,PIT,,,,,,,,
AL,CHW,Erick,Fedde,MIX,PIT,,,,,,,,
AL,CHW,Chris,Flexen,REG,PIT,,,,,,,,
AL,CHW,Matt,Foster,COMP,PIT,,,,,,,,
AL,CHW,Deivi,Garcia,COMP,PIT,,,,,,,,
AL,CHW,Jairo,Iriarte,COMP,PIT,,,,,,,,
AL,CHW,Michael,Kopech,ADD,PIT,,,,,,,,
AL,CHW,Chad,Kuhl,REG,PIT,,,,,,,,
AL,CHW,Jordan,Leasure,REG,PIT,,,,,,,,
AL,CHW,Dominic,Leone,REG,PIT,,,,,,,,
AL,CHW,Davis,Martin,REG,PIT,,,,,,,,
AL,CHW,Nick,Nastrini,ADD,PIT,,,,,,,,
AL,CHW,Sammy,Peralta,COMP,PIT,,,,,,,,
AL,CHW,Bryan,Shaw,COMP,PIT,,,,,,,,
AL,CHW,Jared,Shuster,REG,PIT,,,,,,,,
AL,CHW,Mike,Soroka,REG,PIT,,,,,,,,
AL,CHW,Drew,Thorpe,REG,PIT,,,,,,,,
AL,CHW,Touki,Toussaint,ADD,PIT,,,,,,,,
AL,CHW,Gus,Varland,ADD,PIT,,,,,,,,
AL,CHW,Steven,Wilson,REG,PIT,,,,,,,,
AL,CHW,Jake,Woodford,COMP,PIT,,,,,,,,
AL,CLE,Gabriel,Arias,ADD,BAT,,3,3(B4),2,3,4,4,4
AL,CLE,Will,Brennan,REG,BAT,,,,,,3,4,3
AL,CLE,Estevan,Florial,ADD,BAT,,,,,,3,3,3
AL,CLE,Tyler,Freeman,REG,BAT,,,3,4,3,,4(B3),
AL,CLE,David,Fry,REG,BAT,4,4,,4,,4,,4
AL,CLE,Andres,Gimenez,REG,BAT,,,1,,,,,
AL,CLE,Austin,Hedges,REG,BAT,1,,,,,,,
AL,CLE,Steven,Kwan,REG,BAT,,,,,,1,,
AL,CLE,Ramon,Laureano,ADD,BAT,,,,,,,3,3
AL,CLE,Kyle,Manzardo,ADD,BAT,,4,,,,,,
AL,CLE,Angel,Martinez,ADD,BAT,,,4,4,,4,4,4
AL,CLE,Bo,Naylor,REG,BAT,3,,,,,,,
AL,CLE,Josh,Naylor,REG,BAT,,3,,,,,,
AL,CLE,Jhonkensy,Noel,REG,BAT,,4,,,,,,4(B3)
AL,CLE,Jose,Ramirez,REG,BAT,,,,1,,,,
AL,CLE,Brayan,Rocchio,REG,BAT,,,,,2,,,
AL,CLE,Johnathan,Rodriguez,COMP,BAT,,,,,,,,4
AL,CLE,Daniel,Schneemann,REG,BAT,,,4,3,4,4,4,4
AL,CLE,Myles,Straw,COMP,BAT,,,,,,,1,
AL,CLE,Jose,Tena,COMP,BAT,,,,4,,,,
AL,CLE,Lane,Thomas,REG,BAT,,,,,,,3,3
AL,CLE,Logan,Allen,REG,PIT,,,,,,,,
AL,CLE,Pedro,Avila,REG,PIT,,,,,,,,
AL,CLE,Scott,Barlow,REG,PIT,,,,,,,,
AL,CLE,Tyler,Beede,COMP,PIT,,,,,,,,
AL,CLE,Tanner,Bibee,REG,PIT,,,,,,,,
AL,CLE,Shane,Bieber,COMP,PIT,,,,,,,,
