LG,TM,FIRST,LAST,USE,B/P,C,1B,2B,3B,SS,LF,CF,RF
AL,BO,Anthony,Bemboom,COMP,BAT,4,,,,,,,
AL,BO,Colton,Cowser,ADD,BAT,,,,,,3,4,3
AL,BO,Adam,Frazier,REG,BAT,,4(B3),,,,4,,4
AL,BO,Austin,Hays,REG,BAT,,,,,,2(B1),3,2
AL,BO,Gunnar,Henderson,REG,BAT,,,,2,2,,,
AL,BO,Aaron,Hicks,REG,BAT,,,,,,3,3,3
AL,BO,Heston,Kjerstad,COMP,BAT,,,,,,4,,4
AL,BO,Josh,Lester,COMP,BAT,,5,,5,,,,5
AL,BO,Jorge,Mateo,REG,BAT,,,,,2,,4,
AL,BO,James,McCann,REG,BAT,2,4,,,,,,
AL,BO,Ryan,McKenna,REG,BAT,,,,,,2,3,2
AL,BO,Ryan,Mountcastle,REG,BAT,,3,,,,,,
AL,BO,Cedric,Mullins,REG,BAT,,,,,,,1,
AL,BO,Ryan,O'Hearn,REG,BAT,,4(B3),,,,4,,4
AL,BO,Joey,Ortiz,COMP,BAT,,,3,4,4,,,
AL,BO,Adley,Rutschman,REG,BAT,1,,,,,,,
AL,BO,Anthony,Santander,REG,BAT,,4,,,,4(B3),,4(B3)
AL,BO,Kyle,Stowers,COMP,BAT,,,,,,4,,4
AL,BO,Ramon,Urias,REG,BAT,,4,3,3,,,,
AL,BO,Terrin,Vavra,COMP,BAT,,,4,4,,4,,4
AL,BO,Jordan,Westburg,REG,BAT,,,2,3,,,,
AL,BO,Keegan,Akin,ADD,PIT,,,,,,,,
AL,BO,Bryan,Baker,MIX,PIT,,,,,,,,
AL,BO,Mike,Baumann,REG,PIT,,,,,,,,
AL,BO,Felix,Bautista,REG,PIT,,,,,,,,
AL,BO,Kyle,Bradish,REG,PIT,,,,,,,,
AL,BO,Yennier,Cano,REG,PIT,,,,,,,,
AL,BO,Daniel,Coulombe,REG,PIT,,,,,,,,
AL,BO,Jack,Flaherty,COMP,PIT,,,,,,,,
AL,BO,Shintaro,Fujinami,REG,PIT,,,,,,,,
AL,BO,Reed,Garrett,COMP,PIT,,,,,,,,
AL,BO,Kyle,Gibson,REG,PIT,,,,,,,,
AL,BO,Logan,Gillaspie,COMP,PIT,,,,,,,,
AL,BO,Mychal,Givens,COMP,PIT,,,,,,,,
AL,BO,D.L.,Hall,COMP,PIT,,,,,,,,
AL,BO,Cole,Irvin,REG,PIT,,,,,,,,
AL,BO,Joey,Krehbiel,COMP,PIT,,,,,,,,
AL,BO,Dean,Kremer,REG,PIT,,,,,,,,
AL,BO,Jorge,Lopez,COMP,PIT,,,,,,,,
AL,BO,John,Means,COMP,PIT,,,,,,,,
AL,BO,Cionel,Perez,REG,PIT,,,,,,,,
AL,BO,Grayson,Rodriguez,REG,PIT,,,,,,,,
AL,BO,Chris,Vallimont,COMP,PIT,,,,,,,,
AL,BO,Nick,Vespi,COMP,PIT,,,,,,,,
AL,BO,Austin,Voth,ADD,PIT,,,,,,,,
AL,BO,Jacob,Webb,REG,PIT,,,,,,,,
AL,BO,Tyler,Wells,REG,PIT,,,,,,,,
AL,BO,Bruce,Zimmermann,COMP,PIT,,,,,,,,
AL,BR,Wilyer,Abreu,ADD,BAT,,,,,,3,3,3
AL,BR,Jorge,Alfaro,COMP,BAT,4,,,,,,,
AL,BR,Christian,Arroyo,ADD,BAT,,,3(B2),4,4,,,
AL,BR,Triston,Casas,REG,BAT,,4,,,,,,
AL,BR,Yu,Chang,ADD,BAT,,4,3,4,3(B2),,,
AL,BR,Bobby,Dalbec,COMP,BAT,,4,4,4,4,,,
AL,BR,Rafael,Devers,REG,BAT,,,,4,5,,,
AL,BR,Jarren,Duran,REG,BAT,,,,,,3(B2),3(B2),
AL,BR,Adam,Duvall,REG,BAT,,,,,,3(B2),4,3(B2)
AL,BR,Caleb,Hamilton,COMP,BAT,4,,,,,,,
AL,BR,David,Hamilton,COMP,BAT,,,4,,4,,,
AL,BR,Enrique,Hernandez,MIX,BAT,,,3,,4,,3,
AL,BR,Reese,McGuire,REG,BAT,3,,,,,,,
AL,BR,Ceddanne,Rafaela,ADD,BAT,,,4,,4,,3,
AL,BR,Rob,Refsnyder,REG,BAT,,,,,,4(B3),4,4
AL,BR,Pablo,Reyes,REG,BAT,,4,3(B4),4,3,,,
AL,BR,Trevor,Story,REG,BAT,,,,,2,,,
AL,BR,Justin,Turner,REG,BAT,,4,5,5,,,,
AL,BR,Luis,Urias,COMP,BAT,,,4,4,,,,
AL,BR,Enmanuel,Valdez,REG,BAT,,,4,,4,,,
AL,BR,Alex,Verdugo,REG,BAT,,,,,,,,2
AL,BR,Connor,Wong,REG,BAT,3,,4,,,,,
AL,BR,Masataka,Yoshida,REG,BAT,,,,,,5(B4),,
AL,BR,Kyle,Barraclough,COMP,PIT,,,,,,,,
AL,BR,Brayan,Bello,REG,PIT,,,,,,,,
AL,BR,Brennan,Bernardino,REG,PIT,,,,,,,,
AL,BR,Richard,Bleier,ADD,PIT,,,,,,,,
AL,BR,Ryan,Brasier,COMP,PIT,,,,,,,,
AL,BR,Kutter,Crawford,REG,PIT,,,,,,,,
AL,BR,Matt,Dermody,COMP,PIT,,,,,,,,
AL,BR,Jake,Faria,COMP,PIT,,,,,,,,
AL,BR,Justin,Garza,COMP,PIT,,,,,,,,
AL,BR,Tanner,Houck,REG,PIT,,,,,,,,
AL,BR,Joe,Jacques,REG,PIT,,,,,,,,
AL,BR,Kenley,Jansen,REG,PIT,,,,,,,,
AL,BR,Zack,Kelly,COMP,PIT,,,,,,,,
AL,BR,Corey,Kluber,ADD,PIT,,,,,,,,
AL,BR,Dinelson,Lamet,COMP,PIT,,,,,,,,
AL,BR,Mauricio,Llovera,COMP,PIT,,,,,,,,
AL,BR,Chris,Martin,REG,PIT,,,,,,,,
AL,BR,Chris,Murphy,REG,PIT,,,,,,,,
AL,BR,Kaleb,Ort,ADD,PIT,,,,,,,,
AL,BR,James,Paxton,REG,PIT,,,,,,,,
AL,BR,Nick,Pivetta,REG,PIT,,,,,,,,
AL,BR,Nick,Robertson,COMP,PIT,,,,,,,,
AL,BR,Joely,Rodriguez,COMP,PIT,,,,,,,,
AL,BR,Chris,Sale,REG,PIT,,,,,,,,
AL,BR,John,Schreiber,REG,PIT,,,,,,,,
AL,BR,Ryan,Sherriff,COMP,PIT,,,,,,,,
AL,BR,Brandon,Walter,ADD,PIT,,,,,,,,
AL,BR,Zack,Weiss,COMP,PIT,,,,,,,,
AL,BR,Garrett,Whitlock,REG,PIT,,,,,,,,
AL,BR,Josh,Winckowski,REG,PIT,,,,,,,,
AL,CH,Hanser,Alberto,ADD,BAT,,4,4,4,,,,
AL,CH,Tim,Anderson,REG,BAT,,,4,,4,,,
AL,CH,Elvis,Andrus,REG,BAT,,,3,4,3,,,
